sentence_id	category	sentence	sentiment	ner_tags
1014458:2	restaurant prices	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:2	ambience general	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:2	restaurant miscellaneous	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:2	food prices	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:2	location general	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:2	drinks quality	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:2	food general	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:3	restaurant general	The wine list is interesting and has many good values .	N/A	O O O O O O O O O O O
1014458:3	service general	The wine list is interesting and has many good values .	N/A	O O O O O O O O O O O
1014458:3	food quality	The wine list is interesting and has many good values .	N/A	O O O O O O O O O O O
1014458:3	food style_options	The wine list is interesting and has many good values .	N/A	O O O O O O O O O O O
1014458:3	drinks style_options	The wine list is interesting and has many good values .	positive	O T T O O O O O O O O
1014458:3	drinks prices	The wine list is interesting and has many good values .	positive	O T T O O O O O O O O
1014458:3	restaurant prices	The wine list is interesting and has many good values .	N/A	O O O O O O O O O O O
1014458:3	ambience general	The wine list is interesting and has many good values .	N/A	O O O O O O O O O O O
1014458:3	restaurant miscellaneous	The wine list is interesting and has many good values .	N/A	O O O O O O O O O O O
1014458:3	food prices	The wine list is interesting and has many good values .	N/A	O O O O O O O O O O O
1014458:3	location general	The wine list is interesting and has many good values .	N/A	O O O O O O O O O O O
1014458:3	drinks quality	The wine list is interesting and has many good values .	N/A	O O O O O O O O O O O
1014458:3	food general	The wine list is interesting and has many good values .	N/A	O O O O O O O O O O O
1014458:4	restaurant general	For the price , you cannot eat this well in Manhattan .	N/A	O O O O O O O O O O O O
1014458:4	service general	For the price , you cannot eat this well in Manhattan .	N/A	O O O O O O O O O O O O
1014458:4	food quality	For the price , you cannot eat this well in Manhattan .	positive	O O O O O O O O O O O O
1014458:4	food style_options	For the price , you cannot eat this well in Manhattan .	N/A	O O O O O O O O O O O O
1014458:4	drinks style_options	For the price , you cannot eat this well in Manhattan .	N/A	O O O O O O O O O O O O
1014458:4	drinks prices	For the price , you cannot eat this well in Manhattan .	N/A	O O O O O O O O O O O O
1014458:4	restaurant prices	For the price , you cannot eat this well in Manhattan .	positive	O O O O O O O O O O O O
1014458:4	ambience general	For the price , you cannot eat this well in Manhattan .	N/A	O O O O O O O O O O O O
1014458:4	restaurant miscellaneous	For the price , you cannot eat this well in Manhattan .	N/A	O O O O O O O O O O O O
1014458:4	food prices	For the price , you cannot eat this well in Manhattan .	N/A	O O O O O O O O O O O O
1014458:4	location general	For the price , you cannot eat this well in Manhattan .	N/A	O O O O O O O O O O O O
1014458:4	drinks quality	For the price , you cannot eat this well in Manhattan .	N/A	O O O O O O O O O O O O
1014458:4	food general	For the price , you cannot eat this well in Manhattan .	N/A	O O O O O O O O O O O O
1016296:0	restaurant general	I was very disappointed with this restaurant .	negative	O O O O O O T O
1016296:0	service general	I was very disappointed with this restaurant .	N/A	O O O O O O O O
1016296:0	food quality	I was very disappointed with this restaurant .	N/A	O O O O O O O O
1016296:0	food style_options	I was very disappointed with this restaurant .	N/A	O O O O O O O O
1016296:0	drinks style_options	I was very disappointed with this restaurant .	N/A	O O O O O O O O
1016296:0	drinks prices	I was very disappointed with this restaurant .	N/A	O O O O O O O O
1016296:0	restaurant prices	I was very disappointed with this restaurant .	N/A	O O O O O O O O
1016296:0	ambience general	I was very disappointed with this restaurant .	N/A	O O O O O O O O
1016296:0	restaurant miscellaneous	I was very disappointed with this restaurant .	N/A	O O O O O O O O
1016296:0	food prices	I was very disappointed with this restaurant .	N/A	O O O O O O O O
1016296:0	location general	I was very disappointed with this restaurant .	N/A	O O O O O O O O
1016296:0	drinks quality	I was very disappointed with this restaurant .	N/A	O O O O O O O O
1016296:0	food general	I was very disappointed with this restaurant .	N/A	O O O O O O O O
1016296:1	restaurant general	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .	N/A	O O O O O O O O O O O O O O O O O O O O O
1016296:1	service general	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .	negative	O O O T T O O O O O O O O O O O O O O O O
1016296:1	food quality	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .	N/A	O O O O O O O O O O O O O O O O O O O O O
1016296:1	food style_options	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .	N/A	O O O O O O O O O O O O O O O O O O O O O
1016296:1	drinks style_options	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .	N/A	O O O O O O O O O O O O O O O O O O O O O
1016296:1	drinks prices	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .	N/A	O O O O O O O O O O O O O O O O O O O O O
1016296:1	restaurant prices	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .	N/A	O O O O O O O O O O O O O O O O O O O O O
1016296:1	ambience general	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .	N/A	O O O O O O O O O O O O O O O O O O O O O
1016296:1	restaurant miscellaneous	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .	N/A	O O O O O O O O O O O O O O O O O O O O O
1016296:1	food prices	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .	N/A	O O O O O O O O O O O O O O O O O O O O O
1016296:1	location general	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .	N/A	O O O O O O O O O O O O O O O O O O O O O
1016296:1	drinks quality	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .	N/A	O O O O O O O O O O O O O O O O O O O O O
1016296:1	food general	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .	N/A	O O O O O O O O O O O O O O O O O O O O O
1016296:2	restaurant general	I had to ask her three times before she finally came back with the dish Ive requested .	N/A	O O O O O O O O O O O O O O O O O O
1016296:2	service general	I had to ask her three times before she finally came back with the dish Ive requested .	negative	O O O O O O O O O O O O O O O O O O
1016296:2	food quality	I had to ask her three times before she finally came back with the dish Ive requested .	N/A	O O O O O O O O O O O O O O O O O O
1016296:2	food style_options	I had to ask her three times before she finally came back with the dish Ive requested .	N/A	O O O O O O O O O O O O O O O O O O
1016296:2	drinks style_options	I had to ask her three times before she finally came back with the dish Ive requested .	N/A	O O O O O O O O O O O O O O O O O O
1016296:2	drinks prices	I had to ask her three times before she finally came back with the dish Ive requested .	N/A	O O O O O O O O O O O O O O O O O O
1016296:2	restaurant prices	I had to ask her three times before she finally came back with the dish Ive requested .	N/A	O O O O O O O O O O O O O O O O O O
1016296:2	ambience general	I had to ask her three times before she finally came back with the dish Ive requested .	N/A	O O O O O O O O O O O O O O O O O O
1016296:2	restaurant miscellaneous	I had to ask her three times before she finally came back with the dish Ive requested .	N/A	O O O O O O O O O O O O O O O O O O
1016296:2	food prices	I had to ask her three times before she finally came back with the dish Ive requested .	N/A	O O O O O O O O O O O O O O O O O O
1016296:2	location general	I had to ask her three times before she finally came back with the dish Ive requested .	N/A	O O O O O O O O O O O O O O O O O O
1016296:2	drinks quality	I had to ask her three times before she finally came back with the dish Ive requested .	N/A	O O O O O O O O O O O O O O O O O O
1016296:2	food general	I had to ask her three times before she finally came back with the dish Ive requested .	N/A	O O O O O O O O O O O O O O O O O O
1016296:3	restaurant general	Food was okay , nothing great .	N/A	O O O O O O O
1016296:3	service general	Food was okay , nothing great .	N/A	O O O O O O O
1016296:3	food quality	Food was okay , nothing great .	neutral	T O O O O O O
1016296:3	food style_options	Food was okay , nothing great .	N/A	O O O O O O O
1016296:3	drinks style_options	Food was okay , nothing great .	N/A	O O O O O O O
1016296:3	drinks prices	Food was okay , nothing great .	N/A	O O O O O O O
1016296:3	restaurant prices	Food was okay , nothing great .	N/A	O O O O O O O
1016296:3	ambience general	Food was okay , nothing great .	N/A	O O O O O O O
1016296:3	restaurant miscellaneous	Food was okay , nothing great .	N/A	O O O O O O O
1016296:3	food prices	Food was okay , nothing great .	N/A	O O O O O O O
1016296:3	location general	Food was okay , nothing great .	N/A	O O O O O O O
1016296:3	drinks quality	Food was okay , nothing great .	N/A	O O O O O O O
1016296:3	food general	Food was okay , nothing great .	N/A	O O O O O O O
1016296:4	restaurant general	Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O
1016296:4	service general	Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O
1016296:4	food quality	Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .	negative	T T O O O T T T O O O O O O O O O O O O O O O O O
1016296:4	food style_options	Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O
1016296:4	drinks style_options	Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O
1016296:4	drinks prices	Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O
1016296:4	restaurant prices	Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O
1016296:4	ambience general	Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .	negative	O O O O O O O O O O O O O O O O O O O O O O O O O
1016296:4	restaurant miscellaneous	Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O
1016296:4	food prices	Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O
1016296:4	location general	Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O
1016296:4	drinks quality	Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O
1016296:4	food general	Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O
1016296:5	restaurant general	I / we will never go back to this place again .	negative	O O O O O O O O O T O O
1016296:5	service general	I / we will never go back to this place again .	N/A	O O O O O O O O O O O O
1016296:5	food quality	I / we will never go back to this place again .	N/A	O O O O O O O O O O O O
1016296:5	food style_options	I / we will never go back to this place again .	N/A	O O O O O O O O O O O O
1016296:5	drinks style_options	I / we will never go back to this place again .	N/A	O O O O O O O O O O O O
1016296:5	drinks prices	I / we will never go back to this place again .	N/A	O O O O O O O O O O O O
1016296:5	restaurant prices	I / we will never go back to this place again .	N/A	O O O O O O O O O O O O
1016296:5	ambience general	I / we will never go back to this place again .	N/A	O O O O O O O O O O O O
1016296:5	restaurant miscellaneous	I / we will never go back to this place again .	N/A	O O O O O O O O O O O O
1016296:5	food prices	I / we will never go back to this place again .	N/A	O O O O O O O O O O O O
1016296:5	location general	I / we will never go back to this place again .	N/A	O O O O O O O O O O O O
1016296:5	drinks quality	I / we will never go back to this place again .	N/A	O O O O O O O O O O O O
1016296:5	food general	I / we will never go back to this place again .	N/A	O O O O O O O O O O O O
1028246:0	restaurant general	Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !	positive	O O O O O O O O O T O O O O O O O O O O O O O O O O O O O O O O O O O
1028246:0	service general	Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1028246:0	food quality	Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1028246:0	food style_options	Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1028246:0	drinks style_options	Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1028246:0	drinks prices	Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1028246:0	restaurant prices	Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1028246:0	ambience general	Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1028246:0	restaurant miscellaneous	Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1028246:0	food prices	Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1028246:0	location general	Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1028246:0	drinks quality	Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1028246:0	food general	Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1028246:1	restaurant general	Service was devine , oysters where a sensual as they come , and the price can ' t be beat ! ! !	N/A	O O O O O O O O O O O O O O O O O O O O O O O
1028246:1	service general	Service was devine , oysters where a sensual as they come , and the price can ' t be beat ! ! !	positive	T O O O O O O O O O O O O O O O O O O O O O O
